Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Óscar Acevedo,ni NCA,DF,ni Real Estelí FC,26,1997,2,2,161,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
2,Alexander Achinioti-Jönsson,se SWE,DF,ca Forge FC,27,1996,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3,Luciano Acosta,ar ARG,MF,us FC Cincinnati,29,1994,4,3,287,3.2,1,1,2,1,0,0,0,0,0.31,0.31,0.63,0.31,0.63,Matches
4,Samuel Adeniran,us USA,FW,us St. Louis City,25,1998,2,2,161,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Renske Adipi,sr SUR,MF,sr SV Robinhood,24,1999,2,2,177,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Leonardo Afonso,br BRA,FW,us Inter Miami,22,2001,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,London Aghedo,us USA,DF,us FC Cincinnati,23,2000,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Sergio Aguayo,us USA,FW,mx Pachuca,21,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Elías Aguilar,cr CRC,"MF,FW",cr Herediano,32,1991,6,6,443,4.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
10,Jorman Aguilar,pa PAN,FW,gt Comunicaciones,29,1994,2,0,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
11,Érick Aguirre,mx MEX,"DF,MF",mx Monterrey,26,1997,4,4,315,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
12,Rodrigo Aguirre,uy URU,FW,mx Monterrey,29,1994,4,1,154,1.7,1,1,2,1,0,0,0,1,0.58,0.58,1.17,0.58,1.17,Matches
13,Jorge Agustín Rodríguez,ar ARG,MF,mx Monterrey,28,1995,6,6,540,6,1,0,1,1,0,0,2,0,0.17,0,0.17,0.17,0.17,Matches
14,Fraser Aird,ca CAN,DF,ca Cavalry FC,28,1995,2,1,111,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Forster Ajago,gh GHA,FW,us Nashville SC,22,2001,1,1,90,1,2,0,2,2,0,1,0,0,2,0,2,2,2,Matches
16,William Akio,ss SSD,MF,ca Cavalry FC,25,1998,2,2,180,2,0,1,1,0,0,0,0,0,0,0.5,0.5,0,0.5,Matches
17,Jordi Alba,es ESP,"DF,MF",us Inter Miami,34,1989,3,3,257,2.9,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
18,Jesús Alberto Angulo,mx MEX,DF,mx UANL,26,1998,6,6,570,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
19,Luis Alfonso Rodríguez,mx MEX,DF,mx Pachuca,33,1991,5,5,432,4.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
20,Dwayne Allen,jm JAM,MF,jm Cavalier FC,21,2002,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Noah Allen,gr GRE,DF,us Inter Miami,19,2004,3,2,194,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Roberto Alvarado,mx MEX,"MF,FW",mx Guadalajara,25,1998,2,2,165,1.8,1,1,2,1,0,0,1,0,0.55,0.55,1.09,0.55,1.09,Matches
23,Kevin Álvarez,mx MEX,DF,mx América,25,1999,5,1,213,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Malte Amundsen,dk DEN,DF,us Columbus Crew,25,1998,6,1,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
25,Eduardo Anderson,pa PAN,MF,cr Saprissa,23,2001,2,0,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Markus Anderson,us USA,FW,us Philadelphia Union,20,2003,4,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
27,Esteban Andrada,ar ARG,GK,mx Monterrey,33,1991,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
28,José Andrés Martínez,ve VEN,MF,us Philadelphia Union,29,1994,4,3,257,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
29,Dimitrio Andro,sr SUR,MF,sr SV Robinhood,20,2003,2,2,164,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Luis Ángel Malagón,mx MEX,GK,mx América,26,1997,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
31,Juan Ángeles,do DOM,"MF,FW",do Moca FC,23,2000,2,2,152,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Iván Angulo,co COL,MF,us Orlando City,24,1999,3,3,229,2.5,0,1,1,0,0,0,0,0,0,0.39,0.39,0,0.39,Matches
33,Jesús Angulo,mx MEX,"MF,FW",mx Toluca,26,1997,2,2,180,2,1,0,1,1,0,0,0,0,0.5,0,0.5,0.5,0.5,Matches
34,Francisco Antonio Figueroa,mx MEX,FW,mx Toluca,24,1999,2,1,121,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
35,Brian Anunga,cm CMR,MF,us Nashville SC,27,1996,3,1,124,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
36,Jorge Aparicio,gt GUA,MF,gt Comunicaciones,31,1992,2,2,111,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
37,Javier Aquino,mx MEX,DF,mx UANL,33,1990,4,4,375,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
38,César Araujo,uy URU,MF,us Orlando City,22,2001,3,2,214,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
39,Maximiliano Araújo,uy URU,MF,mx Toluca,23,2000,2,1,66,0.7,0,1,1,0,0,0,0,0,0,1.36,1.36,0,1.36,Matches
40,Darril Araya,cr CRC,FW,cr Herediano,23,2000,4,1,179,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41,Ronaldo Araya,cr CRC,MF,cr Herediano,24,1999,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
42,Pablo Arboine,cr CRC,DF,cr Saprissa,25,1998,2,2,210,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Max Arfsten,us USA,MF,us Columbus Crew,22,2001,3,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Azmahar Ariano,pa PAN,DF,pa CA Independiente,33,1991,2,2,169,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
45,Gerardo Arteaga,mx MEX,DF,mx Monterrey,25,1998,8,7,647,7.2,0,1,1,0,0,0,1,0,0,0.14,0.14,0,0.14,Matches
46,Víctor Arteaga,mx MEX,MF,mx Toluca,19,2004,2,2,159,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
47,Artur,br BRA,MF,us Houston Dynamo,27,1996,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
48,Gustavo Ascona,ar ARG,FW,do Moca FC,36,1987,2,2,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
49,Dwayne Atkinson,jm JAM,MF,jm Cavalier FC,21,2002,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
