Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Mohammed Abbas,ae UAE,MF,ae Al Ain FC,22,2002,2,1,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Wessam Abou Ali,ps PLE,FW,eg Al Ahly,26,1999,3,3,196,2.2,3,0,3,2,1,1,0,0,1.38,0,1.38,0.92,0.92,Matches
3,Francesco Acerbi,it ITA,DF,it Inter,36,1988,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Alonso Aceves,mx MEX,MF,mx Pachuca,23,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Joshua Acheampong,eng ENG,DF,eng Chelsea,18,2006,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Marcos Acuña,ar ARG,DF,ar River Plate,33,1991,3,3,268,3,0,2,2,0,0,0,1,0,0,0.67,0.67,0,0.67,Matches
7,Jayden Adams,za RSA,MF,za Mamelodi Sundowns,23,2001,3,0,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Tosin Adarabioyo,eng ENG,DF,eng Chelsea,27,1997,4,3,321,3.6,1,0,1,1,0,0,1,0,0.28,0,0.28,0.28,0.28,Matches
9,Karim Adeyemi,de GER,FW,de Dortmund,23,2002,5,4,231,2.6,0,2,2,0,0,0,0,0,0,0.78,0.78,0,0.78,Matches
10,Luis Advíncula,pe PER,DF,ar Boca Juniors,34,1990,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
11,Vasilije Adžić,me MNE,MF,it Juventus,18,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
12,Afsha,eg EGY,MF,eg Al Ahly,28,1996,3,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Érick Aguirre,mx MEX,"MF,DF",mx Monterrey,27,1997,3,2,213,2.4,0,1,1,0,0,0,1,0,0,0.42,0.42,0,0.42,Matches
14,Jorge Agustín Rodríguez,ar ARG,"MF,DF",mx Monterrey,29,1995,3,3,258,2.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
15,Rayan Aït-Nouri,dz ALG,DF,eng Manchester City,23,2001,3,3,284,3.2,0,1,1,0,0,0,0,0,0,0.32,0.32,0,0.32,Matches
16,Manuel Akanji,ch SUI,DF,eng Manchester City,29,1995,3,2,248,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
17,Nathan Aké,nl NED,DF,eng Manchester City,29,1995,2,1,158,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Kerem Aktürkoğlu,tr TUR,MF,pt Benfica,26,1998,4,1,202,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
19,William Alarcón,cl CHI,MF,ar Boca Juniors,24,2000,2,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Jordi Alba,es ESP,DF,us Inter Miami,35,1989,3,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Trent Alexander-Arnold,eng ENG,"DF,MF",es Real Madrid,26,1998,5,5,387,4.3,0,2,2,0,0,0,0,0,0,0.47,0.47,0,0.47,Matches
22,Luis Alfonso Rodríguez,mx MEX,DF,mx Pachuca,34,1991,2,2,149,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
23,Rodrigo Aliendro,ar ARG,MF,ar River Plate,33,1991,1,1,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Allan,br BRA,MF,br Flamengo,27,1997,3,1,153,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
25,Allan,br BRA,MF,br Palmeiras,20,2004,4,2,186,2.1,0,1,1,0,0,0,0,0,0,0.48,0.48,0,0.48,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Allan,br BRA,MF,br Botafogo (RJ),34,1991,3,3,209,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
27,Noah Allen,gr GRE,DF,us Inter Miami,20,2004,4,4,288,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Marcelo Allende,cl CHI,MF,za Mamelodi Sundowns,25,1999,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
29,Tadeo Allende,ar ARG,MF,us Inter Miami,25,1999,4,4,324,3.6,1,0,1,1,0,0,0,0,0.28,0,0.28,0.28,0.28,Matches
30,Alfonso Alvarado,mx MEX,FW,mx Monterrey,24,2000,3,1,68,0.8,0,1,1,0,0,0,1,0,0,1.32,1.32,0,1.32,Matches
31,Julián Álvarez,ar ARG,FW,es Atlético Madrid,25,2000,3,3,261,2.9,0,1,1,0,0,0,0,0,0,0.34,0.34,0,0.34,Matches
32,Frankie Amaya,us USA,MF,us LAFC,24,2000,3,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Fidel Ambríz,mx MEX,MF,mx Monterrey,21,2003,4,1,130,1.4,0,1,1,0,0,0,1,0,0,0.69,0.69,0,0.69,Matches
34,Mohamed Amine Tougai,dz ALG,DF,tn Espérance Tunis,25,2000,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
35,Nordin Amrabat,ma MAR,"MF,FW",ma Wydad AC,37,1987,3,3,241,2.7,0,1,1,0,0,0,1,0,0,0.37,0.37,0,0.37,Matches
36,Felipe Anderson,br BRA,MF,br Palmeiras,31,1993,1,1,64,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
37,Esteban Andrada,ar ARG,GK,mx Monterrey,34,1991,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
38,Aaron Anselmino,ar ARG,DF,eng Chelsea,19,2005,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
39,Waldemar Anton,de GER,DF,de Dortmund,28,1996,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Luiz Araújo,br BRA,MF,br Flamengo,28,1996,4,4,338,3.8,1,1,2,1,0,0,0,0,0.27,0.27,0.53,0.27,0.53,Matches
