Name,Rating,League,Team,FaceID,HasImage,Position
"Facundo Canete (1000253)",73,"MLS Next Pro","Carolina Core FC",1000253,1,CAM
"Facundo Canete (1000253)",60,"NISA","Valley United FC",1000253,1,CAM
"Brian Romero (1000274)",68,"MLS Next Pro","Crown Legacy FC",1000274,1,RW
"Nimfasha Berchimas (1000273)",69,"MLS Next Pro","Crown Legacy FC",1000273,1,LW
"Nimfasha Berchimas (1000273)",67,"MLS","Charlotte FC",1000273,1,LW
"Ethan Kohler (1000301)",62,"USL Championship","Oakland Roots SC",1000301,1,CB
"Ethan Kohler (1000301)",67,"MLS","San Jose Earthquakes II",1000301,1,CB
"Adolfo Enriquez (1000308)",71,"MLS","Portland Timbers 2",1000308,1,CM
"Adolfo Enriquez (1000308)",67,"MLS","Portland Timbers",1000308,1,CM
"Ian Shaul (1000306)",62,"USL Championship","Hartford Athletic",1000306,1,CM
"Ian Shaul (1000306)",67,"MLS","Portland Timbers 2",1000306,1,CM
"Michael Dunne (1000307)",67,"MLS","Portland Timbers 2",1000307,0,CB
"Sean McDowd (1000309)",67,"MLS","Portland Timbers 2",1000309,0,CB
"Alexis Moreno (1000312)",73,"MLS","Portland Timbers 2",1000312,0,CM
"Parker Smith (1000774)",58,"USL League One","Forward Madison FC",1000774,0,GK
"Alexandre Cox-Ashwood (1000775)",62,"USL League One","Greenville Triumph SC",1000775,1,CF
"Owen Green (1001052)",58,"USL League One","Chattanooga Red Wolves SC",1001052,1,RB
"Owen Green (1001052)",58,"USL League One","Lexington SC",1001052,1,RB
"Owen Green (1001052)",58,"USL League One","South Georgia Tormenta FC",1001052,1,RB
"Julian Bravo (1000714)",62,"USL Championship","Oakland Roots SC",1000714,1,CB
"Julian Bravo (1000714)",58,"MLS Next Pro","Crown Legacy FC",1000714,1,CB
"Julian Bravo (1000714)",67,"MLS","Portland Timbers 2",1000714,1,CB
"Julian Bravo (1000714)",67,"MLS","Portland Timbers",1000714,1,CB
"João Gomiero (1001098)",68,"USL League One","Richmond Kickers",1001098,1,CM
"João Gomiero (1001098)",61,"NISA","Stumptown Athletic",1001098,1,CM
"Grayson Dupont (1001514)",58,"USL League One","Spokane Velocity FC",1001514,1,CM
"Grayson Dupont (1001514)",62,"USL Championship","Birmingham Legion FC",1001514,1,CM
"Grayson Dupont (1001514)",67,"MLS","FC Cincinnati 2",1001514,1,CM
"Gilberto Flores (1001531)",67,"MLS","FC Cincinnati",1001531,1,CB
"Alan Carleton (1001517)",73,"MLS Next Pro","Huntsville City FC",1001517,1,CM
"Alan Carleton (1001517)",67,"MLS","Nashville SC",1001517,1,CM
"Alan Carleton (1001517)",82,"MLS","Atlanta United 2",1001517,1,CM
"Alan Carleton (1001517)",67,"MLS","Atlanta United FC",1001517,1,CM
"Nicolás Rincón (1001394)",79,"MLS","Columbus Crew 2",1001394,1,CAM
"Nicolás Rincón (1001394)",58,"USL League One","North Carolina FC",1001394,1,CAM
