Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,League,Team
Andre Applewhaite,bb BRB,DF,22,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Appalacian FC
Mohamed Diakite,us USA,DF,28,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Appalacian FC
Rashawn Kellman,bb BRB,DF,25,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,NPSL,Appalacian FC
Vincent Montoya,fr FRA,MF,24,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Appalacian FC
Juan Rodriguez,us USA,GK,25,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Appalacian FC
Matthew Tricker,eng ENG,DF,23,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,NPSL,Appalacian FC
Wilfried Kamden,cm CMR,MF,25,1,1,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Appalacian FC
John Osadolor,es ESP,FW,23,1,1,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Appalacian FC
Harri Rowe,,DF,,1,1,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Appalacian FC
Sam Bayly,eng ENG,MF,22,1,1,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Appalacian FC
William Hitchcock,us USA,MF,23,1,1,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Appalacian FC
Thomas de Graauw,nl NED,MF,24,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Appalacian FC
Robert Turner,us USA,FW,23,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Appalacian FC
Harri Lovett,wls WAL,MF,24,1,0,20,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,NPSL,Appalacian FC
Jeremiah Luoma,us USA,MF,24,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Appalacian FC
Chase Gilley,us USA,MF,22,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Appalacian FC
Lukas Berntsson,se SWE,FW,22,0,0,,,,,,,,,,,,,,,,NPSL,Appalacian FC
John Ermini,us USA,GK,24,0,0,,,,,,,,,,,,,,,,NPSL,Appalacian FC
Squad Total,,,24.5,1,11,90,1,0,0,0,0,0,0,3,0,0,0,0,0,0,,
Opponent Total,,,24.7,1,11,90,1,3,2,5,3,0,0,2,0,3,2,5,3,5,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Eoin Houlihan,us USA,DF,27,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,BSSL,CD Faialense
Garrett Leahy,us USA,MF,28,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,BSSL,CD Faialense
Jacob Maddox,us USA,MF,26,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,BSSL,CD Faialense
Denis Petro,sk SVK,DF,25,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,BSSL,CD Faialense
Tajudeen Salawu,eng ENG,DF,24,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,BSSL,CD Faialense
